Connection between airports,,,,
Test runs,airport1,airport2,Adjacency matrix,Adjacency list
1,MHK,AMW,100091,300842
2,EUG,RDM,102013,103498
3,MFR,RDM,100091,125175
4,RDM,SEA,100013,141378
5,BOS,MIA,196200,229700
,,,,
Total airports connected from this airport,,,,
Test runs,airport1,Adjacency matrix,Adjacency list,
1,MHK,55600,37400,
2,EUG,46100,88300,
3,MFR,63100,31500,
4,RDM,109200,18600,
5,BOS,55600,34701,
,,,,
Total airports connected to this airport,,,,
Test runs,airport2,Adjacency matrix,Adjacency list,
1,BTM,126200,82187,
2,RDM,110500,57925,
3,MIA,194700,59989,
4,AMW,111800,56574,
5,SEA,102800,56910,
,,,,
,,,,
,,,,
Total flights flew from source,,,,
Test runs,airport1,Adjacency matrix,Adjacency list,
1,MHK,291300,24100,
2,EUG,1453400,41100,
3,MFR,1011400,114500,
4,RDM,341200,43800,
5,BOS,1706880,113200,
,,,,
Total flights flew to destination,,,,
Test runs,airport2,Adjacency matrix,Adjacency list,
1,BTM,1488780,1251673,
2,RDM,303800,289459,
3,MIA,1855700,1763400,
4,AMW,109100,99050,
5,SEA,110500,101100,
,,,,
Total passengers flew to destination,,,,
Test runs,airport2,Adjacency matrix,Adjacency list,
1,BTM,1476620,1351891,
2,RDM,383800,298400,
3,MIA,1759900,1597300,
4,AMW,110600,101890,
5,SEA,100100,99200,
,,,,
Total passengers flew from source,,,,
Test runs,airport1,Adjacency matrix,Adjacency list,
1,MHK,300900,25100,
2,EUG,1550100,396100,
3,MFR,1516120,103900,
4,RDM,331500,41900,
5,BOS,1810790,124200,
