Search by Vehicle ID,,,,,,
Test runs,Vehicle_id,Linear search  Stack  Array,Linear search Stack  LL,Linear search  Queue  array,Linear search  Queue  LL,SQL
1,567870,16,38,43,83,747
2,645598,17,33,22,82,705
3,179480,4,27,22,63,670
4,1179,0,25,17,59,692
5,494365,48,27,23,72,634
,,,,,,
Search by Person Id,,,,,,
Test runs,person_id,Linear search  Stack  Array,Linear search Stack  LL,Linear search  Queue  array,Linear search  Queue  LL,SQL
1,O595731,1,120,51,88,727
2,O678266,2,56,44,82,632
3,O258473,38,54,24,75,667
4,O131968,36,42,19,80,753
5,O558579,4,37,18,72,729
,,,,,,
Search by RD no.,,,,,,
Test runs,rd_no,Linear search  Stack  Array,Linear search Stack  LL,Linear search  Queue  array,Linear search  Queue  LL,SQL
1,JC320676,22,35,22,62,758
2,JC172482,45,46,21,71,807
3,JC127576,29,49,18,46,802
4,HZ299137,22,36,22,68,839
5,JC107350,26,39,26,73,736
,,,,,,
,,,,,,
Count of acc on a date,,,,,,
Test runs,Date,Linear search  Stack  Array,Linear search Stack  LL,Linear search  Queue  array,Linear search  Queue  LL,SQL
1,06/25/2019,10,43,19,69,634
2,01/21/2014,7,44,23,63,510
3,04/23/2018,14,52,28,73,510
4,08/23/2016,8,44,29,81,626
5,04/15/2015,15,42,27,60,574
,,,,,,
Top N cities with most accidents,,,,,,
Test runs,Number, Stack  Array, Stack  LL,Queue  array,Queue  LL,SQL
1,1,105,223,193,426,2722
2,5,163,259,202,377,2579
3,50,182,209,198,402,2543
4,100,188,241,184,395,2486
5,1500,126,210,192,417,2796
